feature,reverse_confidence,code_status,build_status,hardware_status,rollback_status,upstream_readiness,implemented,wired,default_enabled,hardware_validated,stock_exact,current_review_scope,source_callsite,remaining
stock_graceful_lifecycle_E1,EXACT_TARGET_CONTRACT,ACTIVE_EXPLICIT_SHUTDOWN,STRICT_ARM_PASS,HARDWARE_SHUTDOWN_RESTART_PASS,descriptor-close boundary for unproved inverse ioctls,HIGH,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,LEGACY_OTHER_SCOPE_NOT_REVALIDATED,,Legacy columns retained as historical claims only
owner_single_ownership,REQUIRED_BY_NEGATIVE_EVIDENCE,ACTIVE_PROCESS_SHARED_LOCK,STRICT_ARM_PASS,HARDWARE_REACQUIRE_PASS,lock released only during clean shutdown,HIGH,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,LEGACY_OTHER_SCOPE_NOT_REVALIDATED,,Legacy columns retained as historical claims only
nonblocking_control_plane,REQUIRED_BY_NEGATIVE_EVIDENCE,ACTIVE_BOUNDED_COMMAND_QUEUE,STRICT_ARM_PASS,HARDWARE_CONTROL_PASS,queue drop counter and frame-loop budget,HIGH,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,LEGACY_OTHER_SCOPE_NOT_REVALIDATED,,Legacy columns retained as historical claims only
live_total_gain,EXACT_BODY_AND_E2_EQUIVALENT_GENERATION,ACTIVE_C73F8_PUBLICATION_EPOCH_GATED,HOST_PASS_ARM_BUILD_PASS,TARGET_OWNER_START_PASS,retain last-good sensor slots and reject stale generation,HIGH,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,LEGACY_OTHER_SCOPE_NOT_REVALIDATED,,Legacy columns retained as historical claims only
manual_ae_intt_gain,EXACT,ACTIVE_WITH_ROLLBACK_AND_AUTO_DISABLE,STRICT_ARM_PASS,HARDWARE_PASS,sensor rollback,MEDIUM,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,LEGACY_OTHER_SCOPE_NOT_REVALIDATED,,Legacy columns retained as historical claims only
raw10_cfa_E3,EXACT_TARGET_RAW_STATIC,ACTIVE_STOCK_PROFILE_COLOR_PATH,STRICT_ARM_PASS,RAW_PACKING_CFA_PASS_EXACT_VISUAL_PARITY_PENDING,profile reset,NORMAL_PARITY_FOLLOWUP,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,LEGACY_OTHER_SCOPE_NOT_REVALIDATED,,Legacy columns retained as historical claims only
sharpness_frontend,EXACT_STOCK_MODE1_DELTA_MECHANISM,ACTIVE_NORMALIZED_0_255_STOCK_128,STRICT_ARM_PASS,TARGET_VALIDATION_PENDING,profile-specific baseline and saturating APC rows,HIGH,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,LEGACY_OTHER_SCOPE_NOT_REVALIDATED,,Legacy columns retained as historical claims only
basic_iq_frontend,EXACT_CONTEXT_ROWS_AND_SATURATING_MODE1_TRANSFORM,ACTIVE_BRIGHTNESS_CONTRAST_SATURATION,STRICT_ARM_PASS,TARGET_VALIDATION_PENDING,profile-specific stock baseline at normalized 128,HIGH,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,LEGACY_OTHER_SCOPE_NOT_REVALIDATED,,Legacy columns retained as historical claims only
reloadable_algo_module,HIGH,ACTIVE_RELOAD_UNLOAD_GENERATION_TRACKED,STRICT_ARM_PASS,HARDWARE_DEMONSTRATED,candidate-first rollback review required,MEDIUM,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,LEGACY_OTHER_SCOPE_NOT_REVALIDATED,,Legacy columns retained as historical claims only
watchdog_runtime,EXACT_RUNTIME_AGENT1_STATIC_PENDING,PRODUCTION_POLICY_PENDING,N/A,STOCK_JCMD_FD_LIFECYCLE_PASS,stock restart recovery known,MEDIUM_CONTRACT_LOW_CODE,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,NOT_REVIEWED,LEGACY_OTHER_SCOPE_NOT_REVALIDATED,,Legacy columns retained as historical claims only
